"","in.name","out.name","unlist.fun.lst."
"1","pH (H2O)","ph.h2o_usda.4c1_index","x*1"
"2","pH (KCl)","ph.kcl_usda.4c1_index","x*1"
"3","pH (CaCl2)","ph.cacl2_usda.4c1_index","x*1"
"4","CaCO3","caco3_usda.4e1_wpct","x*1"
"5","Org C","oc_usda.calc_wpct","x*1"
"6","Org N","n.tot_usda.4h2_wpct","x*1"
"7","Ca","ca.ext_usda.4b1_cmolkg","x*1"
"8","Mg","mg.ext_usda.4b1_cmolkg","x*1"
"9","Na","na.ext_usda.4b1_cmolkg","x*1"
"10","K","k.ext_usda.4b1_cmolkg","x*1"
"11","Exch acid","acid.tea_usda4b2_cmolkg","x*1"
"12","Exch Al","al.kcl_usda.4b3_cmolkg","x*1"
"13","CEC soil","cec.ext_usda.4b1_cmolkg","x*1"
"14","ECEC","ecec_usda.4b4_cmolkg","x*1"
"15","Tot S","sand.tot_usda.3a1_wpct","x*1"
"16","Tot Si","silt.tot_usda.3a1_wpct","x*1"
"17","Clay","clay.tot_usda.3a1_wpct","x*1"
"18","BD","bd.od_usda.3b2_gcm3","ifelse(x<0.05, NA, x*1)"
"19","El cond","ec.w_usda.4f1_dsm","x*1"
"20","Base sat","bsat_usda.4b4_wpct","x*1"
"21","pF4.2","wr.1500kbar_usda.3c2_wpct","x*1"
"22","pF2.7","wr.33kbar_usda.3c1_wpct","x*1"
