source,id,kssl_original_name,ossl_abbrev,ossl_method,ossl_unit,ossl_convert,ossl_name
kssl_analyte,4,"Bulk Density, <2mm Fraction, 1/3 Bar",bd,usda.a4,g.cm3,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",bd_usda.a4_g.cm3
kssl_analyte,21,"Bulk Density, Core, <2 mm fraction, Field Moist",bd,usda.a21,g.cm3,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",bd_usda.a21_g.cm3
kssl_calc,236,"Coarse Fragments, Greater 2mm, Wt Percent, Whole Soil Base",cf,usda.c236,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",cf_usda.c236_w.pct
kssl_analyte,9,"Water Retention, 1/3 Bar, <2mm Clod",wr.33kPa,usda.a9,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",wr.33kPa_usda.a9_w.pct
kssl_analyte,415,"Water Retention, 1/3 Bar, <2mm Sieve",wr.33kPa,usda.a415,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",wr.33kPa_usda.a415_w.pct
kssl_analyte,8,"Water Retention, 1/10 Bar, <2mm Clod",wr.10kPa,usda.a8,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",wr.10kPa_usda.a8_w.pct
kssl_analyte,414,"Water Retention, 1/10 Bar, <2mm Sieve, Air-dry",wr.10kPa,usda.a414,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",wr.10kPa_usda.a414_w.pct
kssl_analyte,417,"Water Retention, 15 Bar, <2mm,  Air-dry",wr.1500kPa,usda.a417,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",wr.1500kPa_usda.a417_w.pct
kssl_calc,80,"Water Retention Difference, 1/3 to 15 Bar, <2mm",awc.33.1500kPa,usda.c80,w.frac,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",awc.33.1500kPa_usda.c80_w.frac
kssl_calc,60,"Sand, Total",sand.tot,usda.c60,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",sand.tot_usda.c60_w.pct
kssl_calc,405,"Sand, Total, N prep",sand.tot,usda.c405,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",sand.tot_usda.c405_w.pct
kssl_calc,62,"Silt, Total",silt.tot,usda.c62,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",silt.tot_usda.c62_w.pct
kssl_calc,407,"Silt, Total, N prep",silt.tot,usda.c407,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",silt.tot_usda.c407_w.pct
kssl_analyte,334,Clay,clay.tot,usda.a334,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",clay.tot_usda.a334_w.pct
kssl_analyte,1,"Aggregate Stability, 0.5-2mm Aggregates",aggstb,usda.a1,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",aggstb_usda.a1_w.pct
kssl_analyte,268,"pH, 1:1 Soil-Water Suspension",ph.h2o,usda.a268,index,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",ph.h2o_usda.a268_index
kssl_analyte,481,"pH, 1:2 Soil-CaCl2 Suspension",ph.cacl2,usda.a481,index,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",ph.cacl2_usda.a481_index
kssl_analyte,477,"pH, 0.01M CaCl2, Histosol",ph.cacl2,usda.a477,index,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",ph.cacl2_usda.a477_index
kssl_analyte,364,"Electrical Conductivity, Predict, 1:2 (w/w)",ec,usda.a364,ds.m,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",ec_usda.a364_ds.m
kssl_analyte,479,"Effervescence, 1N HCl",efferv,usda.a479,class,x,efferv_usda.a479_class
kssl_analyte,54,"Carbonate, <2mm Fraction",caco3,usda.a54,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",caco3_usda.a54_w.pct
kssl_calc,1059,"Estimated Organic Carbon, Total C, N prep",oc,usda.c1059,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",oc_usda.c1059_w.pct
kssl_calc,729,"Estimated Organic Carbon, Total C, S prep",oc,usda.c729,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",oc_usda.c729_w.pct
kssl_analyte,622,"Carbon, Total NCS",c.tot,usda.a622,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",c.tot_usda.a622_w.pct
kssl_analyte,623,"Nitrogen, Total NCS",n.tot,usda.a623,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",n.tot_usda.a623_w.pct
kssl_analyte,624,"Sulfur, Total NCS",s.tot,usda.a624,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",s.tot_usda.a624_w.pct
kssl_analyte,723,"CEC, NH4OAc, pH 7.0, 2M KCl displacement",cec,usda.a723,cmolc.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",cec_usda.a723_cmolc.kg
kssl_analyte,722,"Calcium, NH4OAc Extractable, 2M KCl displacement",ca.ext,usda.a722,cmolc.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",ca.ext_usda.a722_cmolc.kg
kssl_analyte,1059,"Calcium, Element Mehlich3 Extractable",ca.ext,usda.a1059,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",ca.ext_usda.a1059_mg.kg
kssl_analyte,724,"Magnesium, NH4OAc Extractable, 2M KCl displacement",mg.ext,usda.a724,cmolc.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",mg.ext_usda.a724_cmolc.kg
kssl_analyte,1066,"Magnesium, Element Mehlich3 Extractable",mg.ext,usda.a1066,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",mg.ext_usda.a1066_mg.kg
kssl_analyte,726,"Sodium, NH4OAc Extractable, 2M KCl displacement",na.ext,usda.a726,cmolc.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",na.ext_usda.a726_cmolc.kg
kssl_analyte,1068,"Sodium, Element Mehlich3 Extractable",na.ext,usda.a1068,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",na.ext_usda.a1068_mg.kg
kssl_analyte,725,"Potassium, NH4OAc Extractable, 2M KCl displacement",k.ext,usda.a725,cmolc.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",k.ext_usda.a725_cmolc.kg
kssl_analyte,1065,"Potassium, Element Mehlich3 Extractable",k.ext,usda.a1065,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",k.ext_usda.a1065_mg.kg
kssl_analyte,69,"Aluminum, KCl Extractable",al.ext,usda.a69,cmolc.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",al.ext_usda.a69_cmolc.kg
kssl_analyte,1056,"Aluminum, Element Mehlich3 Extractable",al.ext,usda.a1056,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",al.ext_usda.a1056_mg.kg
kssl_analyte,795,"Acidity, BaCl2-TEA Extractable, pH 8.2, centrifuge",acidity,usda.a795,cmolc.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",acidity_usda.a795_cmolc.kg
kssl_analyte,274,"Phosphorus, Olsen Extractable",p.ext,usda.a274,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",p.ext_usda.a274_mg.kg
kssl_analyte,652,"Phosphorus, Mehlich3 Extractable",p.ext,usda.a652,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",p.ext_usda.a652_mg.kg
kssl_analyte,1070,"Phosphorus, Element Mehlich3 Extractable",p.ext,usda.a1070,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",p.ext_usda.a1070_mg.kg
kssl_analyte,270,"Phosphorus, Bray-1 Extractable",p.ext,usda.a270,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",p.ext_usda.a270_mg.kg
kssl_analyte,70,"Manganese, KCl Extractable",mn.ext,usda.a70,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",mn.ext_usda.a70_mg.kg
kssl_analyte,1067,"Manganese, Element Mehlich3 Extractable",mn.ext,usda.a1067,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",mn.ext_usda.a1067_mg.kg
kssl_analyte,1063,"Copper, Element Mehlich3 Extractable",cu.ext,usda.a1063,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",cu.ext_usda.a1063_mg.kg
kssl_analyte,1064,"Iron, Element Mehlich3 Extractable",fe.ext,usda.a1064,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",fe.ext_usda.a1064_mg.kg
kssl_analyte,1073,"Zinc, Element Mehlich3 Extractable",zn.ext,usda.a1073,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",zn.ext_usda.a1073_mg.kg
kssl_analyte,66,"Iron, Dithionite Citrate Extractable",fe.dith,usda.a66,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",fe.dith_usda.a66_w.pct
kssl_analyte,65,"Aluminum, Dithionite Citrate Extractable",al.dith,usda.a65,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",al.dith_usda.a65_w.pct
kssl_analyte,60,"Iron, Oxalate Extractable",fe.ox,usda.a60,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",fe.ox_usda.a60_w.pct
kssl_analyte,59,"Aluminum, Oxalate Extractable",al.ox,usda.a59,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",al.ox_usda.a59_w.pct
