table,original_name,import,ossl_name,comment
LUCAS 2009/2012; SoilAttr_*.gpkg,POINT_ID,,,
LUCAS 2009/2012; SoilAttr_*.gpkg,coarse,,,
LUCAS 2009/2012; SoilAttr_*.gpkg,clay,,,
LUCAS 2009/2012; SoilAttr_*.gpkg,silt,,,
LUCAS 2009/2012; SoilAttr_*.gpkg,sand,,,
LUCAS 2009/2012; SoilAttr_*.gpkg,pHinH2O,,,
LUCAS 2009/2012; SoilAttr_*.gpkg,pHinCaCl2,,,
LUCAS 2009/2012; SoilAttr_*.gpkg,OC,,,
LUCAS 2009/2012; SoilAttr_*.gpkg,CaCO3,,,
LUCAS 2009/2012; SoilAttr_*.gpkg,N,,,
LUCAS 2009/2012; SoilAttr_*.gpkg,P,,,
LUCAS 2009/2012; SoilAttr_*.gpkg,K,,,
LUCAS 2009/2012; SoilAttr_*.gpkg,CEC,,,
LUCAS 2009/2012; SoilAttr_*.gpkg,NUTS_0,,,
LUCAS 2009/2012; SoilAttr_*.gpkg,NUTS_1,,,
LUCAS 2009/2012; SoilAttr_*.gpkg,NUTS_2,,,
LUCAS 2009/2012; SoilAttr_*.gpkg,Country,,,
LUCAS_Topsoil_2015.csv,Point_ID,,,
LUCAS_Topsoil_2015.csv,Revisited_point,,,
LUCAS_Topsoil_2015.csv,Coarse,,,
LUCAS_Topsoil_2015.csv,Clay,,,
LUCAS_Topsoil_2015.csv,Sand,,,
LUCAS_Topsoil_2015.csv,Silt,,,
LUCAS_Topsoil_2015.csv,pH(CaCl2),,,
LUCAS_Topsoil_2015.csv,pH(H2O),,,
LUCAS_Topsoil_2015.csv,EC,,,
LUCAS_Topsoil_2015.csv,OC,,,
LUCAS_Topsoil_2015.csv,CaCO3,,,
LUCAS_Topsoil_2015.csv,P,,,
LUCAS_Topsoil_2015.csv,N,,,
LUCAS_Topsoil_2015.csv,K,,,
LUCAS_Topsoil_2015.csv,Elevation,,,
LUCAS_Topsoil_2015.csv,LC1,,,
LUCAS_Topsoil_2015.csv,LU1,,,
LUCAS_Topsoil_2015.csv,Soil_Stones,,,
LUCAS_Topsoil_2015.csv,NUTS_0,,,
LUCAS_Topsoil_2015.csv,NUTS_1,,,
LUCAS_Topsoil_2015.csv,NUTS_2,,,
LUCAS_Topsoil_2015.csv,NUTS_3,,,
LUCAS_Topsoil_2015.csv,LC1_Desc,,,
LUCAS_Topsoil_2015.csv,LU1_Desc,,,
