table,original_name,import,ossl_abbrev,ossl_method,ossl_unit,ossl_convert,ossl_name,comment
_avg_soil+site+NIR,kssl_id,,,,,,,
_avg_soil+site+NIR,lay_id,,,,,,,
_avg_soil+site+NIR,eoc_tot_c,,,,,,,
_avg_soil+site+NIR,c_tot_ncs,,,,,,,
_avg_soil+site+NIR,n_tot_ncs,,,,,,,
_avg_soil+site+NIR,s_tot_ncs,,,,,,,
_avg_soil+site+NIR,ph_h2o,,,,,,,
_avg_soil+site+NIR,db_13b,,,,,,,
_avg_soil+site+NIR,clay_tot_psa,,,,,,,
_avg_soil+site+NIR,silt_tot_psa,,,,,,,
_avg_soil+site+NIR,sand_tot_psa,,,,,,,
_avg_soil+site+NIR,caco3,,,,,,,
_avg_soil+site+NIR,efferv_1nhcl,,,,,,,
_avg_soil+site+NIR,cecd_nh4,,,,,,,
_avg_soil+site+NIR,ca_nh4d,,,,,,,
_avg_soil+site+NIR,mg_nh4d,,,,,,,
_avg_soil+site+NIR,k_nh4d,,,,,,,
_avg_soil+site+NIR,na_nh4d,,,,,,,
_avg_soil+site+NIR,w32l2,,,,,,,
_avg_soil+site+NIR,w15l2,,,,,,,
_avg_soil+site+NIR,al_dith,,,,,,,
_avg_soil+site+NIR,p_mehlich3,,,,,,,
_avg_soil+site+NIR,p_el_meh3,,,,,,,
_avg_soil+site+NIR,k_el_meh3,,,,,,,
_avg_soil+site+NIR,ec_12pre,,,,,,,
